label,text
1,"FRENCH FREE MARKET CEREAL EXPORT BIDS DETAILED
  French operators have requested licences
  to export 422,000 tonnes of free market maize, 212,000 tonnes
  of barley and 20,000 tonnes of feed wheat at today's EC tender,
  trade sources said.
      For the maize, rebates requested range between 129.25 and
  138.74 European currency units per tonne, for the barley
  between 138.94 and 145 Ecus and for feed wheat 141.75 Ecus.
  

"
0,"U.S. EXPORTERS REPORT 900,000 TONNES CORN  SOLD TO THE USSR FOR 1986/87

  U.S. EXPORTERS REPORT 900,000 TONNES CORN  SOLD TO THE USSR FOR 1986/87
  

"
0,"U.S. CORN GROWERS BLAST CANADA CORN RULING
  Canada's ruling in favor of a duty on
  U.S. corn was a keen disappointment to the National Corn
  Growers Association and has set a dangerous precedent for other
  nations to follow, said Mike Hall, lobbyist for the
  association.
      ""The French corn growers will clearly charge ahead now and
  just change corn to corn gluten feed"" in their complaint, Hall
  told Reuters.
      A Canadian government agency ruled today that U.S. farm
  policies are causing injury to Canadian corn farrmers and
  supported an earlier imposed countervailing duty of about 85
  cts per bushel.
      ""This was cleary a political decision,"" Hall said. ""The
  amount of corn we export to Canada is insignificant.""
      The unexpected ruling appeared to be based on the agrument
  that Canada bases its corn prices on U.S. futures prices and
  that American farm policy has driven down these prices, thus
  causing lower prices to Canadian farmers and larger government
  payments through its farm stabilization program, Hall said.
      Hall said this is a new definition for injury, but that
  other nations might also now apply this same argument to attack
  U.S. farm programs.
      The French corn growers could now charge that U.S. farm
  programs create an unfair subsidy for corn gluten feed, Hall
  said. The French have long wanted to control the imports of
  U.S. corn gluten feed into the community, saying that the
  imported feed was unfairly displacing European grain.
  

"
0,"SENATE SEEKS U.S. PROBE OF CANADIAN CORN LEVY
  The Senate voted unanimously to seek
  an expedited U.S. probe of Canadian tariffs on corn imports to
  determine if the United States should retaliate.
      By 99 to 0, the Senate went on record against the 84.9
  cents per bushel tariff approved by the Canadian Import
  Tribunal.
      The non binding measure asked for a probe by the U.S. Trade
  Representative to determine within 30 days whether the tariff
  violates the General Agreement on Tariffs and Trade, and if so
  recommend within 60 days to President Reagan retaliatory action
  against Canada.
  

"
1,"U.S. EXPORT INSPECTIONS, IN THOUS BUSHELS  SOYBEANS 20,349 WHEAT 14,070 CORN 21,989

  U.S. EXPORT INSPECTIONS, IN THOUS BUSHELS  SOYBEANS 20,349 WHEAT 14,070 CORN 21,989
  

"
0,"USDA PUTS MARCH 1 U.S. CORN STOCKS AT  8,246,849,000 BU, SOYBEANS - 1,384,208,000

  USDA PUTS MARCH 1 U.S. CORN STOCKS AT  8,246,849,000 BU, SOYBEANS - 1,384,208,000
  

"
1,"GLICKMAN PUSHES HARD FOR 0/92 FARM PLAN
  Implementation of a one-year 0/92
  pilot program for wheat and feedgrains was strongly promoted
  today by the chairman of a key house agriculture subcommittee
  as a way to cut farm costs and simultaneously give farmers
  another option when making their planting decisions.
      ""We have a budget driven farm policy. It may be a shame,
  but we are locked into this,"" said Dan Glickman, (D-Kans.),
  chairman of the subcommittee on wheat, soybeans and feed
  grains. ""We need to look at ways to cut costs and not hurt the
  farmer. A 0/92 plan, if properly done, could do both.""
      Glickman announced this week plans to introduce a 0/92 bill
  for 1987 and 1988 wheat and feedgrains. An aide to Glickman
  said that it will probably be introduced next week.
      Glickman said a 0/92 program, which allows a farmer to
  forego planting and still receive 92 pct of his deficiency
  payment, would not be a major revision of the 1985 farm bill --
  only an extension of the 50/92 option already provided under
  the current bill.
      It is premature to make any major changes in the farm bill,
  he said, but if agriculture has to make further cuts to meet
  budget goals, a voluntary 0/92 plan would be better than
  sharply cutting target prices, as USDA has proposed.
      A 0/92 plan, however, would not be decoupling, but simply a
  different type of acreage diversion program, Glickman said.
      Decoupling -- delinking planting decisions from government
  payments -- is too much of a policy change to approve at this
  point, he said.
      ""I don't think there is any interest in pursuing a
  decoupling bill this year. Period. Unequivocal,"" Glickman said
  at the hearing.
      Sen. Rudy Boschwitz (R-Minn.), cosponsor of the
  Boren/Boschwitz decoupling plan, said he supports a short term
  0/92 program as a move to a more permament decoupling plan.
      Boschwitz plans to introduce a 0/92 plan in the senate. His
  plan would guarantee a certain deficiency payment to
  participating farmers, require that idled acreage be put to
  conservation use only, prohibit haying and grazing on extra
  idled acreage, limit participation to a certain number of acres
  in a county and provide tenant protection provisions.
      ""I know we cannot obtain complete decoupling in 1987, but
  we can at least move in that direction,"" Boschwitz said.
      Robbin Johnson, vice president of Cargill, Inc., testified
  in favor of decoupling. Decoupling would end the current bias
  in U.S. farm policy towards overproduction and reduce farmers'
  dependency on the government, he said.
      A 0/92 plan does not go far enough in decoupling, Johnson
  said, and would still encourage farmers to plant.
      Officials from the National Corn Growers Association and
  the National Cattlemen's Association said their groups oppose
  any 0/92 or decoupling plan due to concerns about reopening the
  farm bill and creating more confusion among farmers.
      But when asked if his association were forced to choose
  between a ten pct cut in target prices or a 0/92 program, Larry
  Johnson of the Corn Growers said they would agree to 0/92
  rather than take sharp cuts in target levels.
  

"
1,"BANGLADESH PASSES ON TENDER FOR SOFT WHEAT
  Bangladesh passed on its weekend tender
  for 100,000 tonnes of optional origin soft wheat, private
  export sources said.
  

"
1,"FRENCH ESTIMATE 86/87 WHEAT DELIVERIES UNCHANGED
  The French Cereals Intervention Board,
  ONIC, left its estimate of French 1986/87 (July/June) soft
  wheat deliveries unchanged from its last forecast at 21.98 mln
  tonnes.
      This compared with deliveries of 24.38 mln tonnes in
  1985/86 (August/July).
      Estimated 1986/87 maize deliveries were also left unchanged
  from ONIC's previous forecast at the beginning of February at
  9.91 mln tonnes against 10.77 mln the previous season.
      Barley deliveries were also unchanged at 6.62 mln tonnes
  against 7.7 mln in 1985/86.
  

"
1,"U.S. HOUSE TARGETING PROPOSAL SPARKS INTEREST
  A proposal by two U.S. House
  Democrats to target government farm benefits to small- and
  medium-sized farms was warmly received by Democrats on a
  House subcommittee today.
      ""On balance, this is the best new idea I have seen,"" said
  Rep. Dan Glickman (D-Kan.), Chairman of the House Agriculture
  Subcommittee on Wheat, Feedgrains and Soybeans. ""This is the
  first hard constructive proposal coming out as an alternative
  to the (Reagan) administration's farm proposal.""
      The plan, offered by Reps. Tim Penny (D-Minn.) and Byron
  Dorgan (D-ND), would raise target prices for wheat to 5.00 dlrs
  per bushel and for corn to 3.50 dlrs. Producers could receive
  deficiency payments on up to 80 pct of normal yield but not
  more than on 30,000 bu of corn and 20,000 bu of wheat.
      The proposal also would require acreage reductions of 20
  pct, eliminate generic certificates and prohibit persons not
  actively engaged in farming from receiving program benefits.
      Dorgan said the bill would save 24 billion dlrs over five
  years, protect family farms and eliminate government
  accumulation of stocks because nonrecourse loans would be
  halted.
      However, Rep. Pat Roberts (R-Kan.) said the measure would
  ""involve the federal government in deciding and defining who a
  family farmer is.""
      Roberts said the bill, for example, would restrict program
  payments to 500 acres of wheat production in western Kansas.
      Other Republicans on the panel questioned how the bill
  would determine if a person was actively engaged in farming and
  therefore eligible for payments.
  

"
0,"TANZANIA WANTS TO EXPORT 200,000 TONNES OF MAIZE
  Tanzania seeks to export a
  surplus of 200,000 tonnes of maize from last year's bumper
  harvest, agriculture minister Paul Bomani said yesterday.
      The 1986 maize crop was officially estimated at 2.1 mln
  tonnes, but only a fraction of this was marketed, with most
  grain consumed by the farmers who grew it.
      The state-owned National Milling Corp (NMC) meanwhile said
  it is trying to sell 190,742 tonnes of maize stored in
  different parts of the country.
      NMC acting general manager John Rubibira said Tanzania has
  only 56,000 tonnes of silo storage capacity, concentrated in
  Dar es Salaam, Arusha in the north and Iringa in central
  Tanzania.
      In addition, the country has 450,000 tonnes of flat storage
  capacity, he added.
      Rubibira said the government is planning to build new silos
  in the main maize producing areas of Iringa, Mbeya, Ruvuma and
  Rukwa.
  

"
1,"SUDAN RECEIVES 50 MLN DLRS IN PL480 AUTHORITY
  Authorizations to purchase 50 mln
  dlrs worth of U.S. wheat and wheat flour under Public Law 480
  were issued to Sudan today, the Agriculture Department said.
      The authorization provides for 34 mln dlrs -- about 309,000
  tonnes -- worth of wheat, grade U.S. number two or better
  (except durum which shall be number three or better).
      It also provides for 16 mln dlrs -- about 73,000 tonnes --
  worth of wheat flour.
      The contracting period for both commodities is March 20
  through August 31, 1987. The delivery period for wheat is March
  20 through September 30, 1987 and for wheat flour is April 10
  through SEptember 30, 1987, USDA said.
  

"
1,"PAKISTAN NOT SEEN AS MAJOR WHEAT EXPORTER
  Pakistan is not emerging as a major
  wheat exporter as world market prospects are not good enough,
  Sartaj Aziz, Special Assistant on Food and Agriculture to the
  Pakistani Prime Minister, said in an interview.
      No exports are planned for the next 12 months or so and
  plans last year to sell one mln tonnes to Iran came to nothing
  because they could not agree a price, he said.
      Aziz forecast that Pakistan may have exportable surpluses
  of one mln tonnes or a half mln tonnes over the next few
  harvests in years when the weather is favourable.
      The government does not wish to increase output much above
  this because of low world prices, and the land would be better
  used for other crops.
      Aziz said the Pakistani government does not want area sown
  to wheat to increase from the current seven mln hectares. Some
  10 pct of that area which gives low yields could be switched to
  more profitable crops such as oilseeds.
      The aim is to concentrate on raising yields from the
  current 1.8 to 1.9 tonnes per ha to at least 2.5 tonnes per ha
  over the next five to seven years, he said.
      Aziz said the current 1986/87 crop, harvesting of which is
  just beginning, is expected to yield around a record 14.5 mln
  tonnes. This compares with a target of 14.7 mln and last year's
  yield of 14.0 mln.
      He said rains some six weeks ago helped the crop but more
  recent rains reduced prospects slightly.
      The long-term wheat production target is for some 17 mln
  tonnes by mid-1993, taking into account Pakistan's annual
  population growth rate of more than three pct. Current
  consumption is some 12.5 mln tonnes.
      The current wheat reserve is 2.5 mln tonnes, Aziz said.
  This compares with a minimum reserve commitment of one mln
  tonnes, which Pakistan will maintain at all costs, and a
  ""strategic reserve"" target of two mln tonnes.
      Despite the fact that stocks are a half-mln tonnes over
  target, the surplus will not be exported at present, he said.
      The government wants to keep an extra ""safety margin"" until
  it sees what effect the abolition of a 44-year-old wheat
  rationing system will have on domestic consumption. New exports
  will be considered only in about a year's time when the 1987/88
  crop can be gauged as well, he said.
      The new domestic policy, introduced on March 15, is for the
  government to supply unlimited quantities of wheat at two
  rupees per kilo. With other costs this means a price in
  Pakistani markets of between 2.30 and 2.50 rupees per kilo.
      Under the old system, introduced during World War Two and
  due to be phased out by April 15, some 50 mln ration cards were
  issued enabling poor people to buy wheat cheaply.
      Aziz said following the introduction of a government
  support price in the 1970s the system become so corrupted that
  only 20 to 25 pct of subsidised wheat was actually reaching the
  consumer, the rest being diverted illicitly to the mills.
      The ration system had also not had the stabilising effect
  on the internal wheat market that was intended, Aziz said.
      Prices have already begun to fall with the introduction of
  the new system. The wheat price in Karachi, the most expensive
  Pakistani city, had dropped from 3.11 rupees per kilo on March
  1 to 2.85 rupees on March 30.
      Aziz said he does not expect the change in system to have a
  major effect on total consumption, but it may encourage better
  use of side-products such as bran.
  

"
0,"PORTUGUESE GRAIN AGENCY BAN OPPOSED BY MINISTER
  Portugal's Agriculture Minister Alvaro
  Barreto said he disagreed with a court order barring the state
  grain buying agency EPAC from taking part in cereals import
  tenders open to private traders.
      Barreto told reporters his aim was to have EPAC readmitted
  to the tenders.
      Under the terms of Portugal's January 1986 accession to the
  European Community (EC), a grain import monopoly held by EPAC
  (Empresa Publica de Abastecimento de Cereais) is being reduced
  by 20 pct annually until all imports are liberalised in 1990.
      Following legal proceedings by private importers, Lisbon's
  civil court decided in a preliminary ruling earlier this month
  that EPAC should not be allowed to take part, as it had done,
  in tenders for the liberalised share of annual grain imports.
      As a result of this ruling, EPAC was excluded from a March
  12 tender for the import of 80,000 tonnes of maize.
      Barreto said, ""My objective is put EPAC into the tenders
  because it has a right to take part."" He added the government
  would be studying the court order to see whether or not the
  ruling could stop EPAC from participating in future tenders.
      Barreto said there was no reason to exclude any operator,
  whether public or private, from the tenders. Private traders
  had argued that EPAC, given its dominant position in the
  Portuguese grain market, had an unfair advantage over them.
      ""There is no reason to make EPAC a martyr of the system,""
  Barreto said. He said the EC's executive commission had
  accepted the government's view that EPAC should be eligible.
      The Lisbon court ruling stated that EPAC's participation in
  the public tenders was unfair competition and violated the
  clauses of Portugal's EC accession treaty dealing with the
  gradual dismantling of the state agency's import monopoly.
  

"
0,"BIG U.S. CONSERVATION ENROLLMENT EXPECTED
  Enrollment in the U.S. Agriculture
  Department's fourth conservation signup is expected to be
  announced tomorrow, and USDA officials said the figure may be
  higher than total enrollment for the first three signups.
      Enrollment will be in the range of seven to 12 mln acres,
  USDA conservation specialists said. Total enrollment so far in
  the 10-year conservation program is 8.9 mln acres.
      Producers submitted bids to enter 11 to 12 mln acres into
  the program, Milton Hertz, administrator for USDA's
  Agricultural Stabilization and Conservation Service said at a
  congressional hearing yesterday. Not all the bids will be
  accepted, Hertz said, but enrollment is expected to be high.
      As in the first three signups, the Great Plains area is
  expected to attract the greatest enrollment.
      ""The Great Plains area will be the predominate area which
  we'll get signup in,"" a USDA conservation specialist said.
      Marginal corn acreage will likely be the bulk of the
  acreage pulled from that area, he said.
      Fringe soybean acres in the southeast and some bean acreage
  in the midwest are also expected to be taken out of production,
  but the USDA source said this would be a relatively small
  percent of the total.
      A special two dlr bonus to corn producers who enroll part
  of their corn base acreage into the program has sparked more
  interest in this latest signup, USDA officials said.
      Under the program, USDA pays farmers annual rents to take
  land out of production for 10 years. The average rent payment
  accepted in the first three signups was 43.50 dlrs per acre.
  

"
1,"HONDURAS SEEKING VESSELS FOR BULK WHEAT SHIPMENT
  Honduras will tender April 2 for
  U.S. and non-U.S. flag vessels to import 19,369 tonnes of wheat
  in bulk, an agent for the country said.
      The agent said Honduras is seeking vessels to deliver 
  7,369 tonnes during a period that includes laydays of April
  15-30, and 12,000 tonnes with laydays of May 15-30.
      Offers are due no later than 1200 hrs EST, April 2, and
  will remain valid through the close of business the following
  day, the agent said.
  

"
0,"BEGHIN-SAY INCREASES CAPITAL TO FINANCE EXPANSION
  French sugar group Beghin-Say, which is
  49.6 pct owned by Italy's Gruppo Ferruzzi, is to raise its
  capital to 703 mln francs from 527 mln through a three-for-one
  issue of shares and investment certificates to finance
  expansion, president Jean-Marc Vernes told analysts.
      For the first stage Beghin-Say will issue some 2.05 mln new
  65 franc shares at 500 francs to increase capital to 660 mln
  francs. The share currently trades at 734 francs. Then 658,000
  new 65 franc investment certificates will be issued at 400
  francs, raising capital to 703 mln francs.
      The capital increase will bring the group around 1.2
  billion francs in new funds to finance its expansion plans.
  These include the possible acquisition of the Corn Products
  maize starch plant at Haubourdin in northern France, Vernes
  said.
      Ferruzzi is one of several groups bidding to buy all of
  Corn Products' installations in Europe. Apart from the French
  plant, these include three factories in each of Italy and West
  Germany, two in Britain and Spain and one in the Netherlands
  and Denmark.
      Corn Products has put a 650 mln dlr price tag on the
  installations, and Beghin-Say estimates that acquisition of the
  Haubourdin plant would cost between 80 and 100 mln dlrs, Vernes
  said.
      If this bid fails, Beghin-Say would consider acquiring and
  developing two other French plants, either in the maize or
  wheat starch sector.
      Beghin-Say is also planning to finance European expansion
  for its Kaysersberg subsidiary, another major reason for its
  capital increase.
      Kaysersberg, which was transformed from a division of
  Beghin-Say into a fully-fledged chemical subsidiary last year,
  has been holding talks with other European companies on
  possible accords, Vernes said. He added the company could be
  introduced onto the Paris Bourse in the near future.
  

"
1,"NO GRAIN TO THE USSR IN LATEST WEEK -- USDA
  There were no shipments of U.S.
  grain or soybeans to the Soviet Union in the week ended March
  12, according to the U.S. Agriculture Department's latest
  Export Sales report.
       The USSR has purchased 1.0 mln tonnes of U.S. corn for
  delivery in the fourth year of the U.S.-USSR grain agreement.
       Total shipments in the third year of the U.S.-USSR grains
  agreement, which ended September 30, amounted to 152,600 tonnes
  of wheat, 6,808,100 tonnes of corn and 1,518,700 tonnes of
  soybeans.
      Shipments to the USSR in the second year of the agreeement
  amounted to 2,887,200 tonnes of wheat and 15,750,100 tonnes of
  corn.
  

"
1,"USDA ACCEPTS OFFERS FOR 550,000 TONNES  OF BONUS WHEAT FOR CHINA

  USDA ACCEPTS OFFERS FOR 550,000 TONNES  OF BONUS WHEAT FOR CHINA
  

"
1," 5-APR-1987 23:45:47.90
   5-APR-1987 23:45:47.90

"
0,"CANADA CORN DECISION UNJUSTIFIED - YEUTTER
  U.S. trade representative Clayton
  Yeutter said Canada's finding announced today that U.S. corn
  imports injure Canadian farmers is ""totally unjustified.""
      ""U.S. corn exports to Canada are so small that it is
  inconceivable that they injure Canadian corn farmers by any
  reasonable measure,"" Yeutter said in a statement.
      He said if other countries follow Canada's lead it could
  result in ""a rash of protectionist actions throughout the
  world."" French corn growers have recently indicated they will
  challenge U.S. corn gluten feed shipments to Europe.
      Yeutter said the U.S. will examine the Canadian decision
  closely and if the U.S. believes the decision was not based on
  facts, ""will carefully evaluate appropriate responses."" Yeutter
  did not say what steps the U.S. may take in response.
  

"
1,"EC REJECTS WHEAT EXPORT BIDS, GRANTS BARLEY
  The European Community's cereal
  management committee rejected all bids to export free market
  soft wheat at today's weekly tender, traders said.
      The committee awarded 123,000 tonnes of free market barley
  export licences at a maximum export refund of 138.75 Ecus per
  tonne.
  

"
